pH,conductividad,nitratos,arsénico,floururos,sodio,hierro,manganeso,calificación
7.41,668,10,0.037,1.24,139.84,0,0,Potable
7.61,675,10,0.045,1.03,83.02,0,0,Potable
7.99,691,25,0.043,0.78,69,0,0,Potable
7.52,905,0,0.047,0.47,136.8,0.002,0,Potable
7.42,880,0,0.045,0.52,133.8,0,0,Potable
7.59,676,25,0.022,0.42,85.94,0,0,Potable
8.25,760,24,0.035,0,179.5,0.001,0.0001,Potable
8.25,756,24,0.03,0,181.2,0.001,0.001,Potable
7.73,812,7,0.035,0.39,143.26,0.001,0.001,Potable
7.73,651,10,0.042,0.65,75.41,0.001,0.001,Potable
7.95,668,15,0.05,1.14,92.94,0.001,0.001,Potable
7.65,580,10,0.033,0.74,62.14,0.001,0.001,Potable
7.74,571,20,0.015,0.67,45.14,0.001,0.001,Potable
7.91,610,15,0.031,0.64,70.64,0.001,0.001,Potable
7.67,571,15,0.043,1.02,57.89,0.001,0.001,Potable
7.84,617,10,0.045,0.82,99.32,0.001,0.001,Potable
7.84,687,25,0.019,0.78,91.5,0.001,0.001,Potable
7.46,701,25,0.031,0.62,94.37,0.001,0.001,Potable
7.68,694,25,0.028,0.67,94.37,0.001,0.001,Potable
7.85,576,10,0.031,0.7,67.98,0.001,0.001,Potable
8.03,689,20,0.029,0.76,82.69,0.003,0.001,Potable
7.85,721,0.001,0.029,0.82,181.3,0.001,0.001,Potable
7.71,695,0.001,0.032,0.59,185.41,0.001,0.001,Potable
7.32,683,25,0.031,0.57,72.53,0.001,0.001,Potable
7.68,678,0.001,0.041,0.52,173.41,0.001,0.001,Potable
7.66,676,0.001,0.041,0.55,171.93,0.001,0.001,Potable
7.62,689,10,0.012,0.83,128.45,0.001,0.001,Potable
7.41,668,10,0.037,1.24,139.84,0.001,0.001,Potable
7.45,645,10,0.024,0.84,108.6,0.001,0.001,Potable
7.61,675,10,0.045,1.03,83.02,0.001,0.001,Potable
7.56,637,0.001,0.044,0.49,41.70,0.001,0.001,Potable
7.62,678,20,0.031,0.81,70.40,0.001,0.001,Potable
7.51,693,20,0.031,1.02,157.36,0.001,0.001,Potable
7.8,674,15,0.02,0.62,149.6,0.001,0.001,Potable
7.75,684,25,0.024,0.39,82.41,0.001,0.001,Potable
7.74,681,15,0.019,0.77,147.2,0.001,0.001,Potable
7.76,740,25,0.075,1.26,131.47,0.001,0.001,NoPotable
7.64,742,10,0.074,0.95,140.89,0.001,0.001,NoPotable
7.43,669,0.001,0.068,1.01,113.22,0.001,0.001,NoPotable
7.65,690,0.001,0.06,1.08,115.52,0.001,0.001,NoPotable
7.81,3430,0.001,0.312,1.85,1071.96,0.001,0.001,NoPotable
7.81,649,20,0.025,0.65,194.61,0.001,0.001,NoPotable
8.45,1392,15,0.075,0.9,653.13,0.001,0.001,NoPotable
7.91,3310,20,0.2,3.24,1789.14,0.001,0.001,NoPotable
8.51,4610,20,0.29,3.32,2204.85,0,0,NoPotable
7.66,1266,10,0.063,0.41,275.28,0.001,0.006,NoPotable
8.08,3480,5,0.195,1.75,960.28,0.001,0.001,NoPotable
7.86,1351,25,0.370,1.4,294.83,0.031,0.001,NoPotable
7.75,617,0.001,0.028,0.43,33.42,0.001,0.001,NoPotable
7.82,662,0.001,0.036,0.5,34.10,0.001,0.001,NoPotable
7.36,679,10,0.028,1.01,51.52,0.001,0.001,NoPotable
8.03,3340,10,0.095,2.56,58.10,0.004,0.001,NoPotable
7.86,1351,25,0.370,1.4,294.83,0.031,0.001,NoPotable
7.64,742,10,0.074,0.95,140.89,0.001,0.001,NoPotable
7.76,740,25,0.075,1.26,131.47,0.001,0.001,NoPotable
7.77,657,0.001,0.069,0.75,149.7,0.001,0.001,NoPotable
7.65,690,0.001,0.06,1.08,115.52,0.001,0.001,NoPotable
7.43,669,0.001,0.068,1.01,113.22,0.001,0.001,NoPotable
8.06,2970,15,0.177,2.19,901.26,0.001,0.001,NoPotable
8.23,3560,22,0.21,1.5,1356,0.001,0.001,NoPotable
7.8,1150,25,0.075,0.1,421,0.001,0.001,NoPotable
7.8,1350,20,0.09,0.12,460.23,0.001,0.001,NoPotable
7.92,683,18,0.033,0.6,252.36,0.001,0.001,NoPotable
7.81,3430,0.001,0.312,1.85,1071.96,0.001,0.001,NoPotable
7.9,1412,22,0.09,0.12,463.5,0.001,0.001,NoPotable
8.32,3492,23,0.2,0.75,1362,0.001,0.001,NoPotable
7.63,1205,25,0.08,0.15,425,0.001,0.001,NoPotable
7.92,3550,10,0.213,1.63,897.61,0.001,0.001,NoPotable
8.1,3396,7,0.192,1.75,971.23,0.001,0.001,NoPotable